id;name;start_date
1;24 Amazon workers sent to hospital after robot accidentally unleashes bear spray;2021-08-06
2;1 critical, 54 Amazon workers treated after bear repellent discharge in N.J. warehouse;2021-08-05
3;Robot's bear spray accident puts 24 Amazon workers in hospital;2021-08-06
4;Amazon bear repellent accident sends 24 workers to the hospital;2021-08-05
5;Bear spray incident at NJ Amazon warehouse shines light on safety record;2021-08-05
6;Dozens of Amazon employees taken to hospital after robot unleashes bear spray;2021-08-05
7;24 Amazon Workers Hospitalized After Robot Punctures Bear Spray In Warehouse;2021-08-05
8;Amazon warehouse NJ accident shines light on company's safety record;2021-08-06
9;Robot Punctures Bear Spray Can, More Than 50 People Sickened at New Jersey Amazon Warehouse, Town Says;2021-08-06
10;Amazon Has a History of Bear Repellent Accidents;2021-08-05
11;Amazon workers injured in bear spray accident;2021-08-04
12;Amazon Warehouse Bear Spray Accident Injures Dozens, One Critically;2021-08-04
13;Amazon bear spray accident attributed to robot error;2021-08-04
14;Amazon warehouse bear spray incident leaves workers sickened in Robbinsville, N.J.;2021-08-04
15;Amazon bear repellent accident this week wasn’t its first;2021-08-04
16;Amazon robot sets off bear repellant, putting 24 workers in hospital;2021-08-04
17;OSHA investigates Amazon warehouse bear spray accident that left worker critical;2021-08-04
18;In Indonesia Lion Air Crash, Black Box Data Reveal Pilots’ Struggle to Regain Control;2021-08-04
19;Faulty Lion Air sensor wasn’t fixed before crash, preliminary report finds;2021-08-04
20;Pilots struggled against Boeing’s 737 MAX control system on doomed Lion Air flight;2021-08-04
21;What we've got here is a failure to communicate;2021-08-04
22;Possible fault in Lion Air plane similar to a cause of Air New Zealand Airbus A320 France crash;2021-08-04
